DEFINITION_NAME	IS_ACTIVE	LAST_MODIFY_USER	PROCESS_FAMILY	TRIGGER_OPERATION	SITE	FAB	DEFINITION_TYPE	INTEG_LAYER	DEFECT_LAYER	INTEGRATION_LAYER
X78PG_RM1_PAD	Y	AMR\PGARG3	X78PG_RM1_PAD	233584	D1D	D1D	Universal Process Label			
DVDCL_DUV_HIGH_NPASS	Y	AMR\PGARG3	DVDCL_80P_HIGH_NPASS	T_8M5_OX_CAP,T_8M6_OX_CAP,T_8M7_OX_CAP,T_8M8_OX_CAP,T_8M9_OX_CAP,T_8M10_OX_CAP,T_8M11_OX_CAP,T_8M12_OX_CAP,T_8M13_OX_CAP,T_8M14_OX_CAP	D1D	D1D	Universal Process Label	650_M13	NA	
MX_BS_DUV	Y	AMR\PGARG3	M8_BS	T_8M8_BS	D1D	D1D	Universal Process Label	600_M08	NA	600_M08
DUV_DVDCL_CIP2_MP	Y	AMR\PGARG3	DUV_DVDCL_CIP2_MP	T_8M10_OX_CAP,T_8M11_OX_CAP,T_8M12_OX_CAP,T_8M13_OX_CAP,T_8M14_OX_CAP,T_8M5_OX_CAP,T_8M6_OX_CAP,T_8M7_OX_CAP,T_8M8_OX_CAP,T_8M9_OX_CAP	D1D	D1D	Universal Process Label	650_M13	NA	
PROCESS:TD-HRBck	Y	AMR\SUCHICHA	PROCESS:T_8V9_ILD_DEP	T_8V9_ILD_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
V8_ES_ORDER	Y	AMR\PGARG3	V8_ES_ORDER	T_8V8_ES_DEP	D1D	D1D	Universal Process Label	610_M09	610_M09	610_M09
MX_MAIN_ETCH_DUV	Y	AMR\PGARG3	V7_MAIN_ETCH_RECIPE	E_8V7_MAIN_ETCH	D1D	D1D	Universal Process Label	600_M08	NA	M08
EQUIP:AMECT_CKV_CCM_SRCIP:DE-AMEct	Y	AMR\MZILM	EQUIP:AMECT_CKV_CCM_SRCIP:E_8M10_HM_ETCH	E_8M10_HM_ETCH	D1D	D1D	Treatment Rule	620_M10	NA	
PROCESS:2805_6Q6:LI-SAVli	Y	AMR\BJRANCAT	PROCESS:2805_6Q6:L_8V7_SED	L_8V7_SED	D1D	D1D	Treatment Rule	600_M08	NA	
PROCESS:80P_ROADRUNNER_W78:DE-AMEct	Y	AMR\WAIYIPLO	PROCESS:80P_ROADRUNNER_W78:E_8M9_HM_ETCH	E_8M9_HM_ETCH	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:HRVA_LEOCB_1278_P2:WE-LEOcb	Y	AMR\MDFOYSAL	EQUIP:HRVA_LEOCB_1278_P2:W_8M8_HM_CLN	W_8M8_HM_CLN	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:HRVA_LEOCB_1278_P2:WE-LEOcb	Y	AMR\MDFOYSAL	EQUIP:HRVA_LEOCB_1278_P2:W_8M9_HM_CLN	W_8M9_HM_CLN	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:DVDCL_DUV_GVB:TD-DVDcl	Y	AMR\KDATTA	EQUIP:DVDCL_DUV_GVB:T_8M10_OX_CAP	T_8M10_OX_CAP	D1D	D1D	Treatment Rule	620_M10	NA	
