T,Row ID,ROW_ORDER,PILOT_NAME,PRODUCT,LAYER,OPERATION,SPC_MEASURED_LAYER,SPC_STRUCTURE,TARGET,SCALE,_PROCESS,COMMENTS
,1,0,*,1L80CV   R,mt1f,270387,MT1,ETE,0.34,0,1280 KARC,
,2,0,*,1L280V   C,mt1f,270387,MT1,ETE,0.34,0,1280 KARC,
,3,0,*,1L802V   Z,mt1f,270387,MT1,ETE,0.33,0,1280 KARC,
,4,0,*,1X80CV   R,mt1f,270387,MT1,ETE,0.34,0,1280 KARC,
,5,0,*,1X80RV   L,mt1f,270387,MT1,ETE,0.39,0,1280 KARC,
,6,0,*,1X80RV   M,mt1f,270387,MT1,ETE,0.38,0,1280 KARC,
,7,0,*,1X280V A C,mt1f,270387,MT1,ETE,0.31,0,1280 KARC,
,8,0,*,1X280V   C,mt1f,270387,MT1,ETE,0.35,0,1280 KARC,
,9,0,*,1X802V   B,mt1f,270387,MT1,ETE,0.33,0,1280 KARC,
,10,0,*,1X802V   Z,mt1f,270387,MT1,ETE,0.36,0,1280 KARC,
,11,0,*,1XC80V   A,mt1f,270387,MT1,ETE,0.44,0,1280 KARC,
